	TRWi
1945	0.54
1946	0.916
1947	1.437
1948	1.059
1949	0.896
1950	0.736
1951	1.41
1952	1.166
1953	1.091
1954	0.814
1955	0.904
1956	1.89
1957	0.689
1958	1.223
1959	0.825
1960	1.54
1961	1.376
1962	0.205
1963	1.043
1964	1.085
1965	1.228
1966	1.221
1967	1.202
1968	1.085
1969	1.198
1970	1.125
1971	1.237
1972	0.52
1973	1.361
1974	1.765
1975	0.791
1976	1.129
1977	1.406
1978	0.13
1979	0.515
1980	1.136
1981	0.902
1982	1.101
1983	1.275
1984	0.618
1985	1.309
1986	1.364
1987	1.097
1988	0.94
1989	0.891
1990	0.992
1991	1.003
1992	0.59
1993	1.231
1994	1.099
1995	1.084
1996	0.7
1997	1.285
1998	0.545
1999	1.392
2000	0.631
2001	1.145
2002	0.873
2003	0.86
2004	1.08
2005	1.132
2006	0.944
2007	1.138
2008	0.697
2009	0.761
2010	0.693
2011	1.09
2012	1.007
2013	0.858
2014	0.666
2015	1.071
2016	0.87
2017	0.647
2018	0.997
2019	1.102
2020	0.799
2021	0.969
