	TRWi
1634	0.715
1635	1.123
1636	0.782
1637	1.444
1638	0.504
1639	0.783
1640	1.385
1641	1.282
1642	-0.013
1643	1.082
1644	0.73
1645	1.088
1646	1.152
1647	0.755
1648	0.34
1649	1.164
1650	1.047
1651	0.947
1652	1.27
1653	0.575
1654	1.321
1655	1.156
1656	0.929
1657	0.407
1658	0.997
1659	1.629
1660	0.469
1661	1.359
1662	1.053
1663	0.724
1664	1.025
1665	0.833
1666	1.254
1667	1.815
1668	1.637
1669	1.051
1670	-0.163
1671	0.962
1672	0.998
1673	1.778
1674	0.999
1675	0.679
1676	0.987
1677	1.186
1678	0.59
1679	0.969
1680	1.236
1681	1.012
1682	0.421
1683	0.986
1684	0.709
1685	0.52
1686	1.491
1687	1.285
1688	0.867
1689	1.009
1690	0.799
1691	0.961
1692	1.062
1693	1.23
1694	0.976
1695	1.476
1696	0.097
1697	0.667
1698	0.403
1699	0.536
1700	1.359
1701	0.862
1702	0.623
1703	1.043
1704	1.204
1705	2.011
1706	1.07
1707	1.369
1708	0.927
1709	1.234
1710	1.027
1711	0.431
1712	1.041
1713	1.235
1714	0.266
1715	1.519
1716	1.357
1717	1.18
1718	0.028
1719	1.428
1720	1.231
1721	0.939
1722	1.034
1723	0.797
1724	0.855
1725	1.074
1726	0.953
1727	1.959
1728	0.446
1729	1.859
1730	1.148
1731	0.873
1732	0.281
1733	0.891
1734	1.173
1735	0.546
1736	0.924
1737	1.227
1738	0.612
1739	1.303
1740	0.914
1741	0.793
1742	0.362
1743	1.484
1744	1.888
1745	0.949
1746	1.357
1747	1.711
1748	1.496
1749	0.965
1750	0.661
1751	0.717
1752	1.21
1753	0.7
1754	0.803
1755	0.651
1756	0.993
1757	1.912
1758	1.269
1759	0.709
1760	0.09
1761	0.99
1762	0.89
1763	1.277
1764	0.929
1765	1.481
1766	1.215
1767	1.218
1768	0.771
1769	1.595
1770	0.424
1771	0.429
1772	0.707
1773	0.536
1774	1.521
1775	1.599
1776	1.019
1777	1.379
1778	1.135
1779	0.487
1780	0.855
1781	0.769
1782	1.419
1783	0.896
1784	1.567
1785	1.289
1786	0.188
1787	1.542
1788	0.722
1789	1.155
1790	1.202
1791	0.597
1792	0.882
1793	1.391
1794	1.916
1795	0.515
1796	1.003
1797	0.884
1798	0.338
1799	0.914
1800	0.563
1801	1.502
1802	1.38
1803	1.182
1804	0.842
1805	1.134
1806	1.536
1807	0.143
1808	1.245
1809	0.925
1810	0.916
1811	0.674
1812	0.308
1813	0.68
1814	0.999
1815	0.714
1816	0.887
1817	1.08
1818	1.096
1819	0.581
1820	0.606
1821	1.107
1822	1.174
1823	0.792
1824	0.769
1825	0.326
1826	0.792
1827	0.958
1828	1.477
1829	1.029
1830	0.428
1831	1.176
1832	0.782
1833	0.472
1834	1.366
1835	1.552
1836	0.744
1837	0.325
1838	0.758
1839	0.834
1840	1.167
1841	1.13
1842	1.219
1843	0.72
1844	0.648
1845	0.887
1846	1.078
1847	0.585
1848	0.913
1849	0.418
1850	1.346
1851	0.723
1852	1.905
1853	1.021
1854	1.401
1855	1.034
1856	1.1
1857	1.568
1858	1.017
1859	0.806
1860	1.877
1861	1.171
1862	1.002
1863	0.946
1864	1.203
1865	1.496
1866	-0.047
1867	0.526
1868	1.952
1869	0.086
1870	0.867
1871	1.097
1872	1.386
1873	0.446
1874	0.553
1875	1.366
1876	0.786
1877	1.767
1878	1.645
1879	1.312
1880	1.152
1881	0.618
1882	0.899
1883	1.324
1884	0.169
1885	0.368
1886	1.025
1887	1.542
1888	1.106
1889	0.569
1890	0.902
1891	1.91
1892	1.604
1893	0.914
1894	1.463
1895	0.773
1896	1.595
1897	1.796
1898	0.23
1899	0.43
1900	0.446
1901	1.361
1902	1.24
1903	0.869
1904	0.782
1905	0.524
1906	1.036
1907	0.943
1908	2.174
1909	0.616
1910	0.769
1911	0.727
1912	0.3
1913	0.886
1914	1.759
1915	1.127
1916	1.436
1917	1.067
1918	1.307
1919	1.033
1920	1.369
1921	0.627
1922	1.379
1923	1.161
1924	1.315
1925	0.575
1926	1.507
1927	0.401
1928	1.581
1929	1.115
1930	1.349
1931	0.161
1932	1.255
1933	1.281
1934	1.219
1935	1.321
1936	1.329
1937	0.953
1938	1.165
1939	1.651
1940	1.501
1941	2.1
1942	1.197
1943	1.318
1944	0.51
1945	1.706
1946	1.241
1947	-0.142
1948	1.725
1949	0.448
1950	0.908
1951	1.066
1952	0.871
1953	1.745
1954	0.528
1955	0.842
1956	0.899
1957	0.991
1958	0.714
1959	1.056
1960	1.012
1961	0.972
1962	0.905
1963	0.595
1964	1.281
1965	0.66
1966	1.228
1967	1.275
1968	0.698
1969	1.187
1970	0.926
1971	0.362
1972	1.017
1973	0.59
1974	0.433
1975	1.085
1976	1.192
1977	0.563
1978	1.045
1979	1.311
1980	0.317
1981	1.025
1982	0.958
1983	0.928
1984	1.247
1985	0.49
1986	1.149
1987	0.654
1988	1.153
1989	0.244
1990	1.428
1991	1.3
1992	0.799
1993	0.525
1994	1.23
1995	0.647
1996	1.115
1997	0.747
1998	1.118
1999	0.532
2000	0.713
2001	1.348
2002	1.095
2003	0.944
2004	0.92
2005	0.679
2006	0.877
2007	0.805
2008	0.979
2009	1.099
2010	0.838
2011	0.701
2012	1.325
2013	0.951
2014	0.995
2015	0.844
2016	0.923
2017	0.82
2018	1.366
2019	1.378
2020	0.622
2021	0.983
2022	0.898
2023	0.611
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
