	TRWi
1945	1.2
1946	0.661
1947	0.477
1948	0.916
1949	0.735
1950	0.899
1951	1.029
1952	1.454
1953	1.437
1954	1.01
1955	1.17
1956	1.578
1957	0.825
1958	0.908
1959	0.864
1960	0.744
1961	1.112
1962	0.791
1963	1.316
1964	1.318
1965	1.229
1966	0.388
1967	1.047
1968	0.575
1969	1.039
1970	0.77
1971	0.706
1972	0.934
1973	0.655
1974	1.007
1975	0.59
1976	1.15
1977	1.007
1978	0.933
1979	1.035
1980	0.605
1981	1.109
1982	1.077
1983	1.174
1984	1.089
1985	0.671
1986	0.428
1987	1.201
1988	1.043
1989	1.14
1990	0.976
1991	1.29
1992	0.722
1993	1.434
1994	1.079
1995	0.351
1996	1.247
1997	0.364
1998	1.385
1999	0.782
2000	0.79
2001	0.739
2002	1.028
2003	1.283
2004	1.147
2005	0.728
2006	1.275
2007	1.375
2008	1.535
2009	0.508
2010	0.748
2011	1.211
2012	1.495
2013	1.075
2014	0.925
2015	1.044
2016	0.891
2017	0.857
2018	1.164
2019	0.708
2020	0.622
2021	1.245
